warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-D,Router,Supplier-Y,738.0,432,2025-12-22,2194.0
WH-B,Printer,Supplier-Z,591.0,313,2025-09-23,1813.09
WH-E,Router,Supplier-Z,602.0,146,2024-10-14,2005.75
WH-E,Laptop,Supplier-V,777.0,356,2026-01-03,2395.29
WH-D,Keyboard,Supplier-X,187.0,431,2025-10-25,3475.84
WH-C,Laptop,Supplier-V,453.0,420,2026-02-03,4665.96
WH-B,Router,Supplier-Z,400.0,384,2026-03-25,1379.28
WH-C,Tablet,Supplier-V,836.0,88,2025-01-08,3901.87
WH-A,Keyboard,Supplier-Y,902.0,106,2026-07-02,1481.79
WH-A,Keyboard,Supplier-V,469.0,204,2026-05-13,1965.27
WH-E,Router,Supplier-Y,292.0,494,2024-07-22,3453.87
WH-B,Mobile,Supplier-X,38.0,279,2025-09-30,2410.88
WH-C,Laptop,Supplier-W,961.0,413,2024-09-20,4963.51
WH-B,Monitor,Supplier-Z,11.0,168,2025-05-11,1991.96
WH-A,Mouse,Supplier-X,600.0,8,2025-06-01,1639.1
WH-C,Mobile,Supplier-Y,755.0,273,2024-12-30,3996.17
WH-B,Laptop,Supplier-W,853.0,459,2024-12-14,2044.4
WH-D,Printer,Supplier-W,733.0,53,2025-02-25,1237.19
WH-E,Tablet,Supplier-V,667.0,91,2025-08-22,3145.35
WH-C,Router,Supplier-Z,965.0,144,2025-05-09,2539.4
WH-D,Mobile,Supplier-W,707.0,303,2025-12-29,912.75
WH-D,Tablet,Supplier-X,510.0,192,2025-12-28,1360.51
WH-E,Mouse,Supplier-Y,539.0,335,2024-09-11,839.1
WH-D,Mouse,Supplier-X,701.0,493,2025-01-28,2601.53
WH-D,Mobile,Supplier-V,357.0,355,2025-10-27,3314.43
WH-B,Monitor,Supplier-Y,685.0,313,2026-05-09,2013.83
WH-A,Laptop,Supplier-V,562.0,375,2025-08-28,4476.1
WH-C,Keyboard,Supplier-X,23.0,146,2026-01-02,2159.16
WH-B,Printer,Supplier-Z,323.0,244,2026-05-01,4691.14
WH-D,Mobile,Supplier-W,962.0,286,2026-06-01,4712.41
WH-E,Mouse,Supplier-X,354.0,244,2026-01-10,5113.98
WH-B,Tablet,Supplier-W,958.0,371,2025-04-30,1014.33
WH-E,Tablet,Supplier-W,4.0,17,2025-12-15,2517.08
WH-B,Mouse,Supplier-W,661.0,293,2024-08-25,3864.03
WH-A,Tablet,Supplier-W,32.0,15,2025-05-20,3699.27
WH-D,Monitor,Supplier-W,936.0,220,2025-07-05,4463.31
WH-D,Tablet,Supplier-W,496.0,486,2026-01-11,4678.95
WH-B,Mobile,Supplier-W,628.0,329,2025-08-01,1453.29
WH-D,Printer,Supplier-Z,74.0,251,2024-11-01,952.8
WH-A,Monitor,Supplier-Z,886.0,346,2024-07-10,1048.32
WH-C,Router,Supplier-Y,721.0,54,2025-12-27,4684.28
WH-D,Tablet,Supplier-V,963.0,285,2024-09-03,3741.41
WH-A,Mobile,Supplier-V,0.0,323,2025-05-15,2559.28
WH-E,Router,Supplier-Z,58.0,258,2025-03-02,3133.79
WH-A,Laptop,Supplier-V,785.0,71,2024-08-23,4079.86
WH-A,Printer,Supplier-X,467.0,100,2026-03-24,1441.6
WH-C,Tablet,Supplier-X,598.0,159,2025-09-15,4663.43
WH-C,Mobile,Supplier-Y,644.0,9,2024-09-14,1256.78
